Airport_Type,Airport_Name,Country,Airport_Code,Longitude,Latitude,Country_Name
medium_airport,Grafton Airport,AU,GFN,153.0299988,-29.75939941,Australia
small_airport,Ginbata Airport,AU,GBW,120.03553,-22.5812,Australia
small_airport,Gibb River Airport,AU,GBV,126.4449997,-16.42329979,Australia
small_airport,Great Keppel Is Airport,AU,GKL,150.9420013,-23.18330002,Australia
medium_airport,Gladstone Airport,AU,GLT,151.223007,-23.869699,Australia
medium_airport,Goulburn Airport,AU,GUL,149.7259979,-34.81029892,Australia
small_airport,Glengyle Airport,AU,GLG,139.6000061,-24.80830002,Australia
small_airport,Geelong Airport,AU,GEX,144.3329926,-38.22499847,Australia
medium_airport,Glen Innes Airport,AU,GLI,151.6889954,-29.67499924,Australia
small_airport,Glenormiston Airport,AU,GLM,138.8249969,-22.88829994,Australia
seaplane_base,Greenway Sound Seaplane Base,CA,YGN,-126.775,50.839,Canada
small_airport,Grenfell Airport,AU,GFE,148.1329956,-34,Australia
small_airport,Greenvale Airport,AU,GVP,145.0136,-18.9966,Australia
small_airport,Mount Gordon Airport,AU,GPD,139.40425,-19.77265,Australia
